,,row,ljh,RS,matter
AX,0,0,1,7,1
AX,0,1,3,5,3
AX,0,2,5,3,5
AX,0,3,7,1,7
AX,0,4,9,15,9
AX,0,5,11,13,11
AX,0,6,13,11,13
AX,0,7,15,9,15
AX,0,8,17,23,17
AX,0,9,19,19,19
AX,0,10,21,17,21
AX,0,11,23,31,23
AX,0,12,25,29,25
AX,0,13,27,27,27
AX,0,14,29,25,29
AX,0,15,31,6,31
AX,0,16,33,4,33
AX,0,17,35,2,35
AX,0,18,37,0,37
AX,0,19,39,14,39
AX,0,20,41,12,41
AX,0,21,43,8,43
AX,0,22,45,22,45
AX,0,23,47,20,47
AX,0,24,49,18,49
AX,0,25,51,16,51
AX,0,26,53,30,53
AX,0,27,55,28,55
AX,0,28,57,26,57
AX,0,29,59,24,59
AY,1,0,1,7,61
AY,1,1,3,5,63
AY,1,2,5,3,65
AY,1,3,7,1,67
AY,1,4,9,15,69
AY,1,5,11,13,71
AY,1,6,13,11,73
AY,1,7,15,9,75
AY,1,8,17,23,77
AY,1,9,19,19,79
AY,1,10,21,17,81
AY,1,11,23,31,83
AY,1,12,25,29,85
AY,1,13,27,27,87
AY,1,14,29,25,89
AY,1,15,31,6,91
AY,1,16,33,4,93
AY,1,17,35,2,95
AY,1,18,37,0,97
AY,1,19,39,14,99
AY,1,20,41,12,101
AY,1,21,43,8,103
AY,1,22,45,22,105
AY,1,23,47,20,107
AY,1,24,49,18,109
AY,1,25,51,16,111
AY,1,26,53,30,113
AY,1,27,55,28,115
AY,1,28,57,26,117
AY,1,29,59,24,119
BX,2,0,1,7,121
BX,2,1,3,5,123
BX,2,2,5,3,125
BX,2,3,7,1,127
BX,2,4,9,15,129
BX,2,5,11,13,131
BX,2,6,13,11,133
BX,2,7,15,9,135
BX,2,8,17,23,137
BX,2,9,19,19,139
BX,2,10,21,17,141
BX,2,11,23,31,143
BX,2,12,25,29,145
BX,2,13,27,27,147
BX,2,14,29,25,149
BX,2,15,31,6,151
BX,2,16,33,4,153
BX,2,17,35,2,155
BX,2,18,37,0,157
BX,2,19,39,14,159
BX,2,20,41,12,161
BX,2,21,43,8,163
BX,2,22,45,22,165
BX,2,23,47,20,167
BX,2,24,49,18,169
BX,2,25,51,16,171
BX,2,26,53,30,173
BX,2,27,55,28,175
BX,2,28,57,26,177
BX,2,29,59,24,179
BY,3,0,1,7,181
BY,3,1,3,5,183
BY,3,2,5,3,185
BY,3,3,7,1,187
BY,3,4,9,15,189
BY,3,5,11,13,191
BY,3,6,13,11,193
BY,3,7,15,9,195
BY,3,8,17,23,197
BY,3,9,19,19,199
BY,3,10,21,17,201
BY,3,11,23,31,203
BY,3,12,25,29,205
BY,3,13,27,27,207
BY,3,14,29,25,209
BY,3,15,31,6,211
BY,3,16,33,4,213
BY,3,17,35,2,215
BY,3,18,37,0,217
BY,3,19,39,14,219
BY,3,20,41,12,221
BY,3,21,43,8,223
BY,3,22,45,22,225
BY,3,23,47,20,227
BY,3,24,49,18,229
BY,3,25,51,16,231
BY,3,26,53,30,233
BY,3,27,55,28,235
BY,3,28,57,26,237
BY,3,29,59,24,239
CX,4,0,1,7,241
CX,4,1,3,5,243
CX,4,2,5,3,245
CX,4,3,7,1,247
CX,4,4,9,15,249
CX,4,5,11,13,251
CX,4,6,13,11,253
CX,4,7,15,9,255
CX,4,8,17,23,257
CX,4,9,19,19,259
CX,4,10,21,17,261
CX,4,11,23,31,263
CX,4,12,25,29,265
CX,4,13,27,27,267
CX,4,14,29,25,269
CX,4,15,31,6,271
CX,4,16,33,4,273
CX,4,17,35,2,275
CX,4,18,37,0,277
CX,4,19,39,14,279
CX,4,20,41,12,281
CX,4,21,43,8,283
CX,4,22,45,22,285
CX,4,23,47,20,287
CX,4,24,49,18,289
CX,4,25,51,16,291
CX,4,26,53,30,293
CX,4,27,55,28,295
CX,4,28,57,26,297
CX,4,29,59,24,299
CY,5,0,1,7,301
CY,5,1,3,5,303
CY,5,2,5,3,305
CY,5,3,7,1,307
CY,5,4,9,15,309
CY,5,5,11,13,311
CY,5,6,13,11,313
CY,5,7,15,9,315
CY,5,8,17,23,317
CY,5,9,19,19,319
CY,5,10,21,17,321
CY,5,11,23,31,323
CY,5,12,25,29,325
CY,5,13,27,27,327
CY,5,14,29,25,329
CY,5,15,31,6,331
CY,5,16,33,4,333
CY,5,17,35,2,335
CY,5,18,37,0,337
CY,5,19,39,14,339
CY,5,20,41,12,341
CY,5,21,43,8,343
CY,5,22,45,22,345
CY,5,23,47,20,347
CY,5,24,49,18,349
CY,5,25,51,16,351
CY,5,26,53,30,353
CY,5,27,55,28,355
CY,5,28,57,26,357
CY,5,29,59,24,359
DX,6,0,1,7,361
DX,6,1,3,5,363
DX,6,2,5,3,365
DX,6,3,7,1,367
DX,6,4,9,15,369
DX,6,5,11,13,371
DX,6,6,13,11,373
DX,6,7,15,9,375
DX,6,8,17,23,377
DX,6,9,19,19,379
DX,6,10,21,17,381
DX,6,11,23,31,383
DX,6,12,25,29,385
DX,6,13,27,27,387
DX,6,14,29,25,389
DX,6,15,31,6,391
DX,6,16,33,4,393
DX,6,17,35,2,395
DX,6,18,37,0,397
DX,6,19,39,14,399
DX,6,20,41,12,401
DX,6,21,43,8,403
DX,6,22,45,22,405
DX,6,23,47,20,407
DX,6,24,49,18,409
DX,6,25,51,16,411
DX,6,26,53,30,413
DX,6,27,55,28,415
DX,6,28,57,26,417
DX,6,29,59,24,419
DY,7,0,1,7,421
DY,7,1,3,5,423
DY,7,2,5,3,425
DY,7,3,7,1,427
DY,7,4,9,15,429
DY,7,5,11,13,431
DY,7,6,13,11,433
DY,7,7,15,9,435
DY,7,8,17,23,437
DY,7,9,19,19,439
DY,7,10,21,17,441
DY,7,11,23,31,443
DY,7,12,25,29,445
DY,7,13,27,27,447
DY,7,14,29,25,449
DY,7,15,31,6,451
DY,7,16,33,4,453
DY,7,17,35,2,455
DY,7,18,37,0,457
DY,7,19,39,14,459
DY,7,20,41,12,461
DY,7,21,43,8,463
DY,7,22,45,22,465
DY,7,23,47,20,467
DY,7,24,49,18,469
DY,7,25,51,16,471
DY,7,26,53,30,473
DY,7,27,55,28,475
DY,7,28,57,26,477
DY,7,29,59,24,479