run_pulse,run_noise,ana_target,spill_info
1,1,noise,off
2,1,Co57,off
3,3,noise,off
4,3,Co57,off
5,3,Co57,off
6,6,noise,off
7,7,noise,off
8,7,Co57,off
9,7,Co57,off
10,10,noise,off
11,10,Co57,off
12,12,noise,off
13,12,Fe55,off
14,12,Co57,off
15,15,noise,off
16,15,Co57,off
17,17,noise,off
18,17,Co57,off
19,19,noise,off
20,19,Co57,off
21,21,noise,off
22,21,Co57,off
23,21,Fe55,off
24,24,noise,off
25,24,Fe55,off
26,26,noise,off
27,26,Fe55,off
28,26,Fe55,off
29,26,Fe55,off
30,26,Fe55,off
31,26,Fe55,off
32,26,Fe55,off
33,26,Fe55,off
34,26,Fe55,off
35,26,Fe55,off
36,36,noise,off
37,37,noise,off
38,37,Fe55,off
39,37,Fe55,off
40,37,Fe55,off
41,37,Fe55,off
42,37,Off,off
43,43,noise,off
44,37,Off,off
45,37,Off,off
46,37,Off,off
47,47,noise,off
48,48,noise,off
49,48,Fe55,off
50,48,Fe55,off
51,48,Fe55,off
52,48,Fe55,off
53,48,Fe55,on
54,48,Fe55,on
55,48,Fe55,on
56,48,Fe55,on
57,57,noise,off
58,57,Fe55,on
59,57,Fe55,on
60,57,Fe55,on
61,61,noise,off
62,57,Fe55,on
63,57,Fe55,off
64,64,noise,off
65,65,noise,off
66,66,noise,off
67,67,noise,off
68,66,Fe55,on
69,66,Fe55,on
70,66,Fe55,on
71,66,Fe55,on
72,66,Fe55,on
73,66,Fe55,on
74,66,Fe55,on
75,66,Fe55,on
76,66,Fe55,on
77,77,noise,off
78,78,noise,off
79,79,noise,off
80,80,noise,off
81,81,noise,off
82,81,Fe55,off
83,81,Fe55,on
84,81,Fe55,on
85,81,Fe55,on
86,81,Off,on
87,81,Off,on
88,81,Off,on
89,81,Off,on
90,81,Off,on
91,81,Off,on
92,93,Off,on
93,93,noise,off
94,94,noise,off
95,95,noise,off
96,95,Fe55,off
97,95,Fe55,off
98,95,Fe55,on
99,95,Fe55,on
100,95,Fe55,on
101,95,Fe55,on
102,95,Off,off
103,95,Off,on
104,95,Fe55,on
105,95,Off,on
106,95,Fe55,on
107,107,noise,off
108,108,noise,off
109,108,Fe55,off
110,108,Fe55,on
111,108,Fe55,on
112,108,Fe55,on
113,108,Fe55,on
114,108,Fe55,off
115,115,noise,off